idx,model,question,pred,gold,EM,F1,Recall@k
0,scb10x/typhoon-ocr-7b:latest,ทีมรับของแพนเธอร์สยอมแพ้ที่คะแนนเท่าไร,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],308,0.0,0.0,1.0
1,scb10x/typhoon-ocr-7b:latest,จาเรด อัลเลน ทำการแซ็คไปกี่ครั้งตลอดอาชีพ,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],136,0.0,0.0,1.0
2,scb10x/typhoon-ocr-7b:latest,ลูค คีคลี แท็คเกิลไปกี่ครั้ง,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],118,0.0,0.0,1.0
3,scb10x/typhoon-ocr-7b:latest,จอช นอร์แมน อินเตอร์เซปลูกบอลได้กี่ลูก,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],สี่,0.0,0.0,1.0
4,scb10x/typhoon-ocr-7b:latest,ใครทำการแซ็คได้มากที่สุดของทีมในฤดูกาลนี้,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],คาวันน์ ชอร์ต,0.0,0.0,1.0
5,scb10x/typhoon-ocr-7b:latest,ทีมรับของแพนเธอร์ส ทำการอินเตอร์เซปไปกี่ครั้งภายในปี 2015,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],24,0.0,0.0,1.0
6,scb10x/typhoon-ocr-7b:latest,ใครเป็นผู้นำของแพนเธอร์สในการแซ็ค,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],คาวันน์ ชอร์ต,0.0,0.0,1.0
7,scb10x/typhoon-ocr-7b:latest,ผู้เล่นทีมรับของแพนเธอร์สได้รับเลือกให้เล่นในโปรโบว์ลกี่คน,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],สี่,0.0,0.0,1.0
8,scb10x/typhoon-ocr-7b:latest,โธมัส เดวิส ทำให้ฝ่ายตรงข้ามฟัมเบิลไปกี่ครั้ง,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],สี่,0.0,0.0,1.0
9,scb10x/typhoon-ocr-7b:latest,ผู้เล่นคนใดทำการอินเตอร์เซปสูงสุดในฤดูกาล,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],เคิร์ต โคลแมน,0.0,0.0,1.0
10,scb10x/typhoon-ocr-7b:latest,ในฤดูกาล 2015 ทีมรับของแพนเธอร์สทำการอินเตอร์เซปกี่ครั้ง,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],24,0.0,0.0,1.0
11,scb10x/typhoon-ocr-7b:latest,ใครแซ็คได้ห้าครั้งในเก้าเกมในฐานะผู้เปิดเกมของแคโรไลนาแพนเธอร์ส,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],โคนี อีลลี,0.0,0.0,1.0
12,scb10x/typhoon-ocr-7b:latest,ใครคือผู้นำการแทคเกิลของแพนเธอร์สในปี 2015,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],ลูค คีคลี,0.0,0.0,1.0
13,scb10x/typhoon-ocr-7b:latest,จอช นอร์แมน ทำทัชดาวน์จากการอินเตอร์เซปกี่ครั้งในปี 2015,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],สองครั้ง,0.0,0.0,1.0
14,scb10x/typhoon-ocr-7b:latest,ใครพ่ายแพ้ให้แก่ทีมบรอนคอสในรอบดิวิชั่น,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],พิตต์สเบิร์ก สตีลเลอร์ส,0.0,0.0,1.0
15,scb10x/typhoon-ocr-7b:latest,ทีมบรอนคอสทำคะแนนได้เท่าไรในสามนาทีสุดท้ายของการแข่งขันกับทีมพิตต์สเบิร์ก,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],11,0.0,0.0,1.0
16,scb10x/typhoon-ocr-7b:latest,ใครชนะในการแข่งขันซูเปอร์โบว์ลครั้งที่ 49,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],นิวอิงแลนด์แพทริออตส์,0.0,0.0,1.0
17,scb10x/typhoon-ocr-7b:latest,ผลคะแนนของการแข่งขันชิงแชมป์เอเอฟซี คือเท่าไร,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],20–18,0.0,0.0,1.0
18,scb10x/typhoon-ocr-7b:latest,ยังมีเวลาเหลือเท่าไรตอนที่ทีมบรอนคอสทำการอินเตอร์เซป ซึ่งทำให้การแข่งขันชิงแชมป์เอเอฟซีถึงบทสรุป,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],17 วินาที,0.0,0.0,1.0
19,scb10x/typhoon-ocr-7b:latest,ระหว่างทีมบรอนคอสและทีมสตีลเลอร์ส ใครเป็นฝ่ายชนะในรอบดิวิชั่น,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],ทีมบรอนคอส,0.0,0.0,1.0
20,scb10x/typhoon-ocr-7b:latest,ผลคะแนนการแข่งขันระหว่างทีมบรอนคอสและทีมสตีลเลอร์สคือเท่าไร,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],23–16,0.0,0.0,1.0
21,scb10x/typhoon-ocr-7b:latest,ใครชนะในการแข่งขันซูเปอร์โบว์ลครั้งที่ 49,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],นิวอิงแลนด์แพทริออตส์,0.0,0.0,1.0
22,scb10x/typhoon-ocr-7b:latest,เหลือเวลาอีกกี่วินาทีตอนที่บรอนคอสอินเตอร์เซปลูกที่ขว้างมาจนทำให้ชนะในเกมนั้น,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],17,0.0,0.0,1.0
23,scb10x/typhoon-ocr-7b:latest,ระหว่างการแข่งขันเพลย์ออฟ ใครไม่ได้ขว้างลูกบอลเลย,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],แมนนิง,0.0,0.0,1.0
24,scb10x/typhoon-ocr-7b:latest,ทีมบรอนคอสเอาชนะทีมใดในการแข่งขันรอบดิวิชั่น,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],พิตต์สเบิร์ก สตีลเลอร์ส,0.0,0.0,1.0
25,scb10x/typhoon-ocr-7b:latest,ทีมบรอนคอสทำคะแนนได้เท่าไรในสามนาทีสุดท้ายของการแข่งขันกับทีมพิตตส์เบิร์ก,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],11,0.0,0.0,1.0
26,scb10x/typhoon-ocr-7b:latest,ทีมบรอนคอสเอาชนะทีมใดในการแข่งขันชิงแชมป์เอเอฟซี,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],นิวอิงแลนด์แพทริออตส์,0.0,0.0,1.0
27,scb10x/typhoon-ocr-7b:latest,ทีมบรอนคอสเอาชนะทีมใดในการชนะการแข่งขันรอบดิวิชั่นในปี 2015,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],พิตต์สเบิร์ก สตีลเลอร์ส,0.0,0.0,1.0
28,scb10x/typhoon-ocr-7b:latest,ทีมบรอนคอสเอาชนะทีมใดในการเป็นแชมป์ในการแข่งขันชิงแชมป์เอเอฟซี,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],นิวอิงแลนด์แพทริออตส์,0.0,0.0,1.0
29,scb10x/typhoon-ocr-7b:latest,เหลือเวลาอีกกี่วินาทีตอนที่ทีมแพทริออตส์พลาดในการทำ 2 คะแนนหลังทัชดาวน์,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],17,0.0,0.0,1.0
30,scb10x/typhoon-ocr-7b:latest,เพย์ตัน แมนนิง อายุเท่าไรตอนที่เขาเล่นในซูเปอร์โบว์ลครั้งที่ 50,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],39,0.0,0.0,1.0
31,scb10x/typhoon-ocr-7b:latest,ก่อนหน้านี้ใครเป็นเจ้าของสถิติควอเตอร์แบ็กที่อายุมากที่สุดที่เล่นในซูเปอร์โบว์ล,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],จอห์น เอลเวย์,0.0,0.0,1.0
32,scb10x/typhoon-ocr-7b:latest,จอห์น เอลเวย์ อายุเท่าไรตอนที่เขาเล่นในซูเปอร์โบว์ลครั้งที่ 33,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],38,0.0,0.0,1.0
33,scb10x/typhoon-ocr-7b:latest,ปัจจุบัน จอห์น เอลเวย์ มีบทบาทอะไรในเครือของบรอนคอส,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],รองประธานผู้บริหารทีมฟุตบอลและผู้จัดการทั่วไป,0.0,0.0,1.0
34,scb10x/typhoon-ocr-7b:latest,จอห์น เอลเวย์ เล่นให้ทีมใดในซูเปอร์โบว์ลครั้งที่ 33,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],บรอนคอส,0.0,0.0,1.0
35,scb10x/typhoon-ocr-7b:latest,ทีมใดชนะในการแข่งขันซูเปอร์โบว์ลครั้งที่ 33,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],บรอนคอส,0.0,0.0,1.0
36,scb10x/typhoon-ocr-7b:latest,ใครคือผู้จัดการทั่วไปของบรอนคอส,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],จอห์น เอลเวย์,0.0,0.0,1.0
37,scb10x/typhoon-ocr-7b:latest,เอลเวย์ อายุเท่าไรตอนที่ชนะในการแข่งขันซูเปอร์โบว์ลครั้งที่ 33,[ERROR calling Ollama: 500 Server Error: Internal Server Error for url: http://localhost:11434/api/generate],38,0.0,0.0,1.0
